Time/s	Potential/V	Filmthickness/m
0	0.1	1.11E-10
2000	0.1	6.90E-10
4000	0.1	8.75E-10
6000	0.1	9.83E-10
8000	0.1	1.05E-09
10000	0.1	1.10E-09
12000	0.1	1.14E-09
14000	0.1	1.17E-09
16000	0.1	1.19E-09
18000	0.1	1.21E-09
20000	0.1	1.22E-09
22000	0.1	1.23E-09
24000	0.1	1.24E-09
26000	0.1	1.24E-09
28000	0.1	1.25E-09
30000	0.1	1.25E-09
32000	0.1	1.26E-09
34000	0.1	1.26E-09
36000	0.1	1.26E-09
38000	0.1	1.26E-09
40000	0.1	1.26E-09
42000	0.1	1.26E-09
44000	0.1	1.26E-09
46000	0.1	1.26E-09
48000	0.1	1.26E-09
50000	0.1	1.26E-09
52000	0.1	1.26E-09
54000	0.1	1.27E-09
56000	0.1	1.27E-09
58000	0.1	1.27E-09
60000	0.1	1.27E-09
62000	0.1	1.27E-09
64000	0.1	1.27E-09
66000	0.1	1.27E-09
68000	0.1	1.27E-09
70000	0.1	1.27E-09
72000	0.1	1.27E-09
74000	0.1	1.27E-09
76000	0.1	1.27E-09
78000	0.1	1.27E-09
80000	0.1	1.27E-09
82000	0.1	1.27E-09
84000	0.1	1.27E-09
86000	0.1	1.27E-09
88000	0.1	1.27E-09
90000	0.1	1.27E-09
92000	0.1	1.27E-09
94000	0.1	1.27E-09
96000	0.1	1.27E-09
98000	0.1	1.27E-09
100000	0.1	1.27E-09
102000	0.1	1.27E-09
104000	0.1	1.27E-09
106000	0.1	1.27E-09
108000	0.1	1.27E-09
110000	0.1	1.27E-09
112000	0.1	1.27E-09
114000	0.1	1.27E-09
116000	0.1	1.27E-09
118000	0.1	1.27E-09
120000	0.1	1.27E-09
122000	0.1	1.27E-09
124000	0.1	1.27E-09
126000	0.1	1.27E-09
128000	0.1	1.27E-09
130000	0.1	1.27E-09
132000	0.1	1.27E-09
134000	0.1	1.27E-09
136000	0.1	1.27E-09
138000	0.1	1.27E-09
140000	0.1	1.27E-09
142000	0.1	1.27E-09
144000	0.1	1.27E-09
146000	0.1	1.27E-09
148000	0.1	1.27E-09
150000	0.1	1.27E-09
152000	0.1	1.27E-09
154000	0.1	1.27E-09
156000	0.1	1.27E-09
158000	0.1	1.27E-09
160000	0.1	1.27E-09
162000	0.1	1.27E-09
164000	0.1	1.27E-09
166000	0.1	1.27E-09
168000	0.1	1.27E-09
170000	0.1	1.27E-09
172000	0.1	1.27E-09
174000	0.1	1.27E-09
176000	0.1	1.27E-09
178000	0.1	1.27E-09
180000	0.1	1.27E-09
182000	0.1	1.27E-09
184000	0.1	1.27E-09
186000	0.1	1.27E-09
188000	0.1	1.27E-09
190000	0.1	1.27E-09
192000	0.1	1.27E-09
194000	0.1	1.27E-09
196000	0.1	1.27E-09
198000	0.1	1.27E-09
200000	0.1	1.27E-09
202000	0.1	1.27E-09
204000	0.1	1.27E-09
206000	0.1	1.27E-09
208000	0.1	1.27E-09
210000	0.1	1.27E-09
212000	0.1	1.27E-09
214000	0.1	1.27E-09
216000	0.1	1.27E-09
218000	0.1	1.27E-09
220000	0.1	1.27E-09
222000	0.1	1.27E-09
224000	0.1	1.27E-09
226000	0.1	1.27E-09
228000	0.1	1.27E-09
230000	0.1	1.27E-09
232000	0.1	1.27E-09
234000	0.1	1.27E-09
236000	0.1	1.27E-09
238000	0.1	1.27E-09
240000	0.1	1.27E-09
242000	0.1	1.27E-09
244000	0.1	1.27E-09
246000	0.1	1.27E-09
248000	0.1	1.27E-09
250000	0.1	1.27E-09
252000	0.1	1.27E-09
254000	0.1	1.27E-09
256000	0.1	1.27E-09
258000	0.1	1.27E-09
260000	0.1	1.27E-09
262000	0.1	1.27E-09
264000	0.1	1.27E-09
266000	0.1	1.27E-09
268000	0.1	1.27E-09
270000	0.1	1.27E-09
272000	0.1	1.27E-09
274000	0.1	1.27E-09
276000	0.1	1.27E-09
278000	0.1	1.27E-09
280000	0.1	1.27E-09
282000	0.1	1.27E-09
284000	0.1	1.27E-09
286000	0.1	1.27E-09
288000	0.1	1.27E-09
290000	0.1	1.27E-09
292000	0.1	1.27E-09
294000	0.1	1.27E-09
296000	0.1	1.27E-09
298000	0.1	1.27E-09
300000	0.1	1.27E-09
302000	0.1	1.27E-09
304000	0.1	1.27E-09
306000	0.1	1.27E-09
308000	0.1	1.27E-09
310000	0.1	1.27E-09
312000	0.1	1.27E-09
314000	0.1	1.27E-09
316000	0.1	1.27E-09
318000	0.1	1.27E-09
320000	0.1	1.27E-09
322000	0.1	1.27E-09
324000	0.1	1.27E-09
326000	0.1	1.27E-09
328000	0.1	1.27E-09
330000	0.1	1.27E-09
332000	0.1	1.27E-09
334000	0.1	1.27E-09
336000	0.1	1.27E-09
338000	0.1	1.27E-09
340000	0.1	1.27E-09
342000	0.1	1.27E-09
344000	0.1	1.27E-09
346000	0.1	1.27E-09
348000	0.1	1.27E-09
350000	0.1	1.27E-09
352000	0.1	1.27E-09
354000	0.1	1.27E-09
356000	0.1	1.27E-09
358000	0.1	1.27E-09
360000	0.1	1.27E-09
