Time/s	Potential/V	Filmthickness/m
0	1.6	8.62E-09
2000	1.6	8.74E-09
4000	1.6	8.93E-09
6000	1.6	9.14E-09
8000	1.6	9.36E-09
10000	1.6	9.58E-09
12000	1.6	9.81E-09
14000	1.6	1.00E-08
16000	1.6	1.02E-08
18000	1.6	1.05E-08
20000	1.6	1.07E-08
22000	1.6	1.09E-08
24000	1.6	1.11E-08
26000	1.6	1.12E-08
28000	1.6	1.14E-08
30000	1.6	1.16E-08
32000	1.6	1.17E-08
34000	1.6	1.19E-08
36000	1.6	1.20E-08
38000	1.6	1.21E-08
40000	1.6	1.23E-08
42000	1.6	1.24E-08
44000	1.6	1.25E-08
46000	1.6	1.26E-08
48000	1.6	1.27E-08
50000	1.6	1.28E-08
52000	1.6	1.29E-08
54000	1.6	1.29E-08
56000	1.6	1.30E-08
58000	1.6	1.31E-08
60000	1.6	1.32E-08
62000	1.6	1.32E-08
64000	1.6	1.33E-08
66000	1.6	1.33E-08
68000	1.6	1.34E-08
70000	1.6	1.34E-08
72000	1.6	1.35E-08
74000	1.6	1.35E-08
76000	1.6	1.36E-08
78000	1.6	1.36E-08
80000	1.6	1.36E-08
82000	1.6	1.37E-08
84000	1.6	1.37E-08
86000	1.6	1.37E-08
88000	1.6	1.38E-08
90000	1.6	1.38E-08
92000	1.6	1.38E-08
94000	1.6	1.38E-08
96000	1.6	1.39E-08
98000	1.6	1.39E-08
100000	1.6	1.39E-08
102000	1.6	1.39E-08
104000	1.6	1.39E-08
106000	1.6	1.39E-08
108000	1.6	1.40E-08
110000	1.6	1.40E-08
112000	1.6	1.40E-08
114000	1.6	1.40E-08
116000	1.6	1.40E-08
118000	1.6	1.40E-08
120000	1.6	1.40E-08
122000	1.6	1.40E-08
124000	1.6	1.40E-08
126000	1.6	1.40E-08
128000	1.6	1.40E-08
130000	1.6	1.40E-08
132000	1.6	1.40E-08
134000	1.6	1.41E-08
136000	1.6	1.41E-08
138000	1.6	1.41E-08
140000	1.6	1.41E-08
142000	1.6	1.41E-08
144000	1.6	1.41E-08
146000	1.6	1.41E-08
148000	1.6	1.41E-08
150000	1.6	1.41E-08
152000	1.6	1.41E-08
154000	1.6	1.41E-08
156000	1.6	1.41E-08
158000	1.6	1.41E-08
160000	1.6	1.41E-08
162000	1.6	1.41E-08
164000	1.6	1.41E-08
166000	1.6	1.41E-08
168000	1.6	1.41E-08
