Time/s	Potential/V	Filmthickness/m
170000	1.6	1.41E-08
172000	1.6	1.41E-08
174000	1.6	1.41E-08
176000	1.6	1.41E-08
178000	1.6	1.41E-08
180000	1.6	1.40E-08
182000	1.6	1.40E-08
184000	1.6	1.40E-08
186000	1.6	1.40E-08
188000	1.6	1.40E-08
190000	1.6	1.40E-08
192000	1.6	1.40E-08
194000	1.6	1.40E-08
196000	1.6	1.40E-08
198000	1.6	1.40E-08
200000	1.6	1.40E-08
202000	1.6	1.40E-08
204000	1.6	1.40E-08
206000	1.6	1.40E-08
208000	1.6	1.40E-08
210000	1.6	1.40E-08
212000	1.6	1.40E-08
214000	1.6	1.40E-08
216000	1.6	1.40E-08
218000	1.6	1.40E-08
220000	1.6	1.40E-08
222000	1.6	1.40E-08
224000	1.6	1.40E-08
226000	1.6	1.40E-08
228000	1.6	1.40E-08
230000	1.6	1.40E-08
232000	1.6	1.40E-08
234000	1.6	1.40E-08
236000	1.6	1.40E-08
238000	1.6	1.40E-08
240000	1.6	1.40E-08
242000	1.6	1.40E-08
244000	1.6	1.40E-08
246000	1.6	1.40E-08
248000	1.6	1.40E-08
250000	1.6	1.40E-08
252000	1.6	1.40E-08
254000	1.6	1.40E-08
256000	1.6	1.40E-08
258000	1.6	1.40E-08
260000	1.6	1.40E-08
262000	1.6	1.40E-08
264000	1.6	1.40E-08
266000	1.6	1.40E-08
268000	1.6	1.40E-08
270000	1.6	1.40E-08
272000	1.6	1.40E-08
274000	1.6	1.40E-08
276000	1.6	1.40E-08
278000	1.6	1.40E-08
280000	1.6	1.40E-08
282000	1.6	1.40E-08
284000	1.6	1.40E-08
286000	1.6	1.40E-08
288000	1.6	1.40E-08
290000	1.6	1.40E-08
292000	1.6	1.40E-08
294000	1.6	1.40E-08
296000	1.6	1.40E-08
298000	1.6	1.40E-08
300000	1.6	1.40E-08
302000	1.6	1.40E-08
304000	1.6	1.40E-08
306000	1.6	1.40E-08
308000	1.6	1.40E-08
310000	1.6	1.40E-08
312000	1.6	1.40E-08
314000	1.6	1.40E-08
316000	1.6	1.40E-08
318000	1.6	1.40E-08
320000	1.6	1.40E-08
322000	1.6	1.40E-08
324000	1.6	1.40E-08
326000	1.6	1.40E-08
328000	1.6	1.40E-08
330000	1.6	1.40E-08
332000	1.6	1.40E-08
334000	1.6	1.40E-08
336000	1.6	1.40E-08
338000	1.6	1.40E-08
340000	1.6	1.40E-08
342000	1.6	1.40E-08
344000	1.6	1.40E-08
346000	1.6	1.40E-08
348000	1.6	1.40E-08
350000	1.6	1.40E-08
352000	1.6	1.40E-08
354000	1.6	1.40E-08
356000	1.6	1.40E-08
358000	1.6	1.40E-08
360000	1.6	1.40E-08
362000	1.6	1.40E-08
364000	1.6	1.40E-08
366000	1.6	1.40E-08
368000	1.6	1.40E-08
370000	1.6	1.40E-08
372000	1.6	1.40E-08
374000	1.6	1.40E-08
376000	1.6	1.40E-08
378000	1.6	1.40E-08
380000	1.6	1.40E-08
382000	1.6	1.40E-08
384000	1.6	1.40E-08
386000	1.6	1.40E-08
388000	1.6	1.40E-08
390000	1.6	1.40E-08
392000	1.6	1.40E-08
394000	1.6	1.40E-08
396000	1.6	1.40E-08
398000	1.6	1.40E-08
400000	1.6	1.40E-08
