Time/s	Potential/V	Filmthickness/m
0	1.00	3.7E-09
2000	1.00	4.1E-09
4000	1.00	4.8E-09
6000	1.00	5.4E-09
8000	1.00	5.8E-09
10000	1.00	6.2E-09
12000	1.00	6.5E-09
14000	1.00	6.8E-09
16000	1.00	7.0E-09
18000	1.00	7.2E-09
20000	1.00	7.3E-09
22000	1.00	7.5E-09
24000	1.00	7.6E-09
26000	1.00	7.7E-09
28000	1.00	7.8E-09
30000	1.00	7.9E-09
32000	1.00	8.0E-09
34000	1.00	8.0E-09
36000	1.00	8.1E-09
38000	1.00	8.1E-09
40000	1.00	8.2E-09
42000	1.00	8.2E-09
44000	1.00	8.3E-09
46000	1.00	8.3E-09
48000	1.00	8.3E-09
50000	1.00	8.3E-09
52000	1.00	8.4E-09
54000	1.00	8.4E-09
56000	1.00	8.4E-09
58000	1.00	8.4E-09
60000	1.00	8.4E-09
62000	1.00	8.5E-09
64000	1.00	8.5E-09
66000	1.00	8.5E-09
68000	1.00	8.5E-09
70000	1.00	8.5E-09
72000	1.00	8.5E-09
74000	1.00	8.5E-09
76000	1.00	8.5E-09
78000	1.00	8.5E-09
80000	1.00	8.5E-09
82000	1.00	8.5E-09
84000	1.00	8.6E-09
86000	1.00	8.6E-09
88000	1.00	8.6E-09
90000	1.00	8.6E-09
92000	1.00	8.6E-09
94000	1.00	8.6E-09
96000	1.00	8.6E-09
98000	1.00	8.6E-09
100000	1.00	8.6E-09
102000	1.00	8.6E-09
104000	1.00	8.6E-09
106000	1.00	8.6E-09
108000	1.00	8.6E-09
110000	1.00	8.6E-09
112000	1.00	8.6E-09
114000	1.00	8.6E-09
116000	1.00	8.6E-09
118000	1.00	8.6E-09
120000	1.00	8.6E-09
122000	1.00	8.6E-09
124000	1.00	8.6E-09
126000	1.00	8.6E-09
128000	1.00	8.6E-09
130000	1.00	8.6E-09
132000	1.00	8.6E-09
134000	1.00	8.6E-09
136000	1.00	8.6E-09
138000	1.00	8.6E-09
140000	1.00	8.6E-09
142000	1.00	8.6E-09
144000	1.00	8.6E-09
146000	1.00	8.6E-09
148000	1.00	8.6E-09
150000	1.00	8.6E-09
152000	1.00	8.6E-09
154000	1.00	8.6E-09
156000	1.00	8.6E-09
158000	1.00	8.6E-09
160000	1.00	8.6E-09
162000	1.00	8.6E-09
164000	1.00	8.6E-09
166000	1.00	8.6E-09
168000	1.00	8.6E-09
170000	1.00	8.6E-09
172000	1.00	8.6E-09
174000	1.00	8.6E-09
176000	1.00	8.6E-09
178000	1.00	8.6E-09
180000	1.00	8.6E-09
182000	1.00	8.6E-09
184000	1.00	8.6E-09
186000	1.00	8.6E-09
188000	1.00	8.6E-09
190000	1.00	8.6E-09
192000	1.00	8.6E-09
194000	1.00	8.6E-09
196000	1.00	8.6E-09
198000	1.00	8.6E-09
200000	1.00	8.6E-09
202000	1.00	8.6E-09
204000	1.00	8.6E-09
206000	1.00	8.6E-09
208000	1.00	8.6E-09
210000	1.00	8.6E-09
212000	1.00	8.6E-09
214000	1.00	8.6E-09
216000	1.00	8.6E-09
218000	1.00	8.6E-09
220000	1.00	8.6E-09
222000	1.00	8.6E-09
224000	1.00	8.6E-09
226000	1.00	8.6E-09
228000	1.00	8.6E-09
230000	1.00	8.6E-09
232000	1.00	8.6E-09
234000	1.00	8.6E-09
236000	1.00	8.6E-09
238000	1.00	8.6E-09
240000	1.00	8.6E-09
242000	1.00	8.6E-09
244000	1.00	8.6E-09
246000	1.00	8.6E-09
248000	1.00	8.6E-09
250000	1.00	8.6E-09
252000	1.00	8.6E-09
254000	1.00	8.6E-09
256000	1.00	8.6E-09
258000	1.00	8.6E-09
260000	1.00	8.6E-09
262000	1.00	8.6E-09
264000	1.00	8.6E-09
266000	1.00	8.6E-09
268000	1.00	8.6E-09
270000	1.00	8.6E-09
272000	1.00	8.6E-09
274000	1.00	8.6E-09
276000	1.00	8.6E-09
278000	1.00	8.6E-09
280000	1.00	8.6E-09
282000	1.00	8.6E-09
284000	1.00	8.6E-09
286000	1.00	8.6E-09
288000	1.00	8.6E-09
290000	1.00	8.6E-09
292000	1.00	8.6E-09
294000	1.00	8.6E-09
296000	1.00	8.6E-09
298000	1.00	8.6E-09
300000	1.00	8.6E-09
302000	1.00	8.6E-09
304000	1.00	8.6E-09
306000	1.00	8.6E-09
308000	1.00	8.6E-09
310000	1.00	8.6E-09
312000	1.00	8.6E-09
314000	1.00	8.6E-09
316000	1.00	8.6E-09
318000	1.00	8.6E-09
320000	1.00	8.6E-09
322000	1.00	8.6E-09
324000	1.00	8.6E-09
326000	1.00	8.6E-09
328000	1.00	8.6E-09
330000	1.00	8.6E-09
332000	1.00	8.6E-09
334000	1.00	8.6E-09
336000	1.00	8.6E-09
338000	1.00	8.6E-09
340000	1.00	8.6E-09
342000	1.00	8.6E-09
344000	1.00	8.6E-09
346000	1.00	8.6E-09
348000	1.00	8.6E-09
350000	1.00	8.6E-09
352000	1.00	8.6E-09
354000	1.00	8.6E-09
356000	1.00	8.6E-09
358000	1.00	8.6E-09
360000	1.00	8.6E-09
362000	1.00	8.6E-09
364000	1.00	8.6E-09
366000	1.00	8.6E-09
368000	1.00	8.6E-09
370000	1.00	8.6E-09
372000	1.00	8.6E-09
